address,zone,collection_day
838 LINDY LN,Zone 1,Monday
7 W SPRING AVE,Zone 2,Wednesday
865 OLD LANCASTER RD,Zone 3,Thursday
55 S MERION AVE,Zone 3,Thursday
871 OLD LANSCASTER RD,Zone 3,Thursday
1455 ABBEY LN,Zone 4,Friday
1449 ABBEY LN,Zone 4,Friday
1439 ABBEY LN,Zone 4,Friday
1435 ABBEY LN,Zone 4,Friday
28 ABERDALE RD,Zone 1,Monday
30 ABERDALE RD,Zone 1,Monday
32 ABERDALE RD,Zone 1,Monday
34 ABERDALE RD,Zone 1,Monday
36 ABERDALE RD,Zone 1,Monday
38 ABERDALE RD,Zone 1,Monday
40 ABERDALE RD,Zone 1,Monday
27 ABERDALE RD,Zone 1,Monday
29 ABERDALE RD,Zone 1,Monday
31 ABERDALE RD,Zone 1,Monday
33 ABERDALE RD,Zone 1,Monday
35 ABERDALE RD,Zone 1,Monday
37 ABERDALE RD,Zone 1,Monday
39 ABERDALE RD,Zone 1,Monday
402 ACADEMY CIR,Zone 1,Monday
406 ACADEMY CIR,Zone 1,Monday
412 ACADEMY CIR,Zone 1,Monday
409 ACADEMY CIR,Zone 1,Monday
50 ACADEMY RD,Zone 1,Monday
54 ACADEMY RD,Zone 1,Monday
58 ACADEMY RD,Zone 1,Monday
60 ACADEMY RD,Zone 1,Monday
64 ACADEMY RD,Zone 1,Monday
66 ACADEMY RD,Zone 1,Monday
68 ACADEMY RD,Zone 1,Monday
70 ACADEMY RD,Zone 1,Monday
72 ACADEMY RD,Zone 1,Monday
74 ACADEMY RD,Zone 1,Monday
76 ACADEMY RD,Zone 1,Monday
78 ACADEMY RD,Zone 1,Monday
80 ACADEMY RD,Zone 1,Monday
82 ACADEMY RD,Zone 1,Monday
51 ACADEMY RD,Zone 1,Monday
55 ACADEMY RD,Zone 1,Monday
57 ACADEMY RD,Zone 1,Monday
63 ACADEMY RD,Zone 1,Monday
65 ACADEMY RD,Zone 1,Monday
69 ACADEMY RD,Zone 1,Monday
71 ACADEMY RD,Zone 1,Monday
73 ACADEMY RD,Zone 1,Monday
75 ACADEMY RD,Zone 1,Monday
77 ACADEMY RD,Zone 1,Monday
79 ACADEMY RD,Zone 1,Monday
81 ACADEMY RD,Zone 1,Monday
83 ACADEMY RD,Zone 1,Monday
120 ADRIENNE LN,Zone 4,Wednesday
126 ADRIENNE LN,Zone 4,Wednesday
132 ADRIENNE LN,Zone 4,Wednesday
117 ADRIENNE LN,Zone 4,Wednesday
119 ADRIENNE LN,Zone 4,Wednesday
125 ADRIENNE LN,Zone 4,Wednesday
